id,psnr_before,psnr_after,gain,ssim_before,ssim_after
1,31.24896198338446,34.359925561766325,3.110963578381863,0.9412643313407898,0.9840950965881348
2,31.28225511561928,38.54478898441566,7.262533868796382,0.8758385181427002,0.9797988533973694
3,32.176108440391495,32.19292820933264,0.016819768941147117,0.9383561015129089,0.9394353032112122
5,25.226751394735597,27.42412624742116,2.197374852685563,0.6660819053649902,0.9604436755180359
6,25.211558592342087,37.27128375586552,12.059725163523431,0.4140172004699707,0.9491217136383057
11,31.75345319482306,32.81681906562208,1.063365870799018,0.8572726249694824,0.9168822169303894
13,30.604782830981176,38.729294848151014,8.124512017169838,0.7758428454399109,0.9740466475486755
16,13.326754418413167,20.114004472759753,6.787250054346586,0.33809366822242737,0.75520259141922
18,23.69540307511398,23.69694059287854,0.0015375177645609028,0.7928321361541748,0.7938830852508545
19,29.136580393258456,29.13659365507864,1.3261820186016848e-05,0.8808012008666992,0.8808009028434753
20,30.143977438335025,30.143631211465205,-0.0003462268698193327,0.9933945536613464,0.9933939576148987
22,20.575038991561783,21.90229339924928,1.327254407687498,0.7497560381889343,0.9341568946838379
23,32.34877470756968,37.920064018027695,5.571289310458013,0.9456079602241516,0.9859173893928528
24,23.548665696195215,28.489211217085064,4.940545520889849,0.664560079574585,0.877382755279541
25,24.878078505676502,35.56721498961124,10.689136483934735,0.4983159601688385,0.945610523223877
26,21.905099137159887,22.699767662228535,0.7946685250686478,0.6615691781044006,0.775973379611969
27,35.240025346450274,35.240093355432286,6.800898201220207e-05,0.9596567153930664,0.9596568942070007
28,29.33835145347706,29.338386184799766,3.473132270670476e-05,0.9356738924980164,0.9356725215911865
31,26.76300196877003,26.784593127939957,0.021591159169926044,0.848590075969696,0.8495826125144958
32,28.92475586319388,33.80938821447458,4.8846323512807,0.8648049235343933,0.9655253291130066
34,24.709143791417638,24.709568757388425,0.00042496597078667264,0.9748290181159973,0.9743404388427734
36,25.504526720412336,25.513117484621173,0.008590764208836532,0.8112242221832275,0.8126595616340637
43,35.54715665706773,35.5475057638685,0.0003491068007690501,0.9766257405281067,0.9766251444816589
44,26.049702123366,36.445029967505036,10.395327844139036,0.5594542622566223,0.9606260657310486
45,28.043997543664293,38.76020622771836,10.71620868405407,0.5962376594543457,0.9753550887107849
46,32.358493649954724,33.10311292517603,0.7446192752213037,0.8661182522773743,0.9135163426399231
48,29.151036164420425,38.85064936489445,9.699613200474026,0.69819575548172,0.9685585498809814
49,28.792458444002357,34.448822470322526,5.656364026320169,0.8697007298469543,0.9684102535247803
50,27.112855565820905,27.11311251651965,0.0002569506987448733,0.9935657382011414,0.9935665130615234
51,25.709580757412375,36.349419372949626,10.63983861553725,0.48708733916282654,0.947313129901886
52,25.163482989376003,33.91034192247564,8.746858933099634,0.6693305373191833,0.9416158199310303
